Rate,Available
0.11,727.0
0.17,370.0
0.17,829.0
0.12,618.0
0.18,665.0
0.06,789.0
0.12,747.0
0.17,103.0
0.1,801.0
0.09,681.0
0.06,731.0
0.05,224.0
0.18,127.0
0.11,187.0
0.14,689.0
0.05,500.0
0.18,231.0
0.05,778.0
0.16,689.0
0.2,822.0
0.09,192.0
0.06,844.0
0.16,716.0
0.17,812.0
0.14,377.0
0.2,523.0
0.06,578.0
0.08,449.0
0.11,701.0
0.14,219.0
0.17,509.0
0.14,533.0
0.16,754.0
0.16,954.0
0.08,359.0
0.16,349.0
0.17,853.0
0.18,247.0
0.13,526.0
0.05,803.0
0.12,257.0
0.05,594.0
0.07,418.0
0.15,791.0
0.07,905.0
0.08,686.0
0.1,938.0
0.17,273.0
0.06,626.0
0.17,491.0
0.18,458.0
0.07,595.0
0.19,566.0
0.09,627.0
0.2,795.0
0.2,390.0
0.13,275.0
0.17,302.0
0.12,757.0
0.1,921.0
0.08,461.0
0.18,314.0
0.15,256.0
0.09,788.0
0.18,762.0
0.12,373.0
0.14,167.0
0.06,710.0
0.09,692.0
0.14,127.0
0.15,492.0
0.09,903.0
0.17,586.0
0.08,118.0
0.11,833.0
0.07,409.0
0.13,345.0
0.09,480.0
0.13,431.0
0.13,604.0
0.11,246.0
0.18,347.0
0.09,666.0
0.16,398.0
0.1,854.0
0.15,742.0
0.15,509.0
0.08,339.0
0.1,640.0
0.05,777.0
0.12,444.0
0.09,695.0
0.06,229.0
0.17,979.0
0.12,994.0
0.2,664.0
0.09,360.0
0.13,940.0
0.15,766.0
0.06,797.0
0.05,691.0
0.06,170.0
0.06,672.0
0.06,657.0
0.06,353.0
0.06,358.0
0.06,955.0
0.06,896.0
0.06,631.0
0.06,990.0
0.06,444.0
0.06,712.0
0.06,933.0
0.06,568.0
0.06,473.0
0.06,127.0
0.07,991.0
0.07,123.0
0.07,437.0
0.07,296.0
0.07,109.0
0.07,411.0
0.07,197.0
0.07,128.0
0.07,119.0
0.07,264.0
0.07,670.0
0.07,536.0
0.07,321.0
0.07,117.0
0.07,766.0
0.07,779.0
0.07,732.0
0.07,189.0
0.07,181.0
0.07,826.0
0.07,770.0
0.07,858.0
0.07,605.0
0.07,889.0
0.07,507.0
0.07,954.0
0.07,484.0
0.07,893.0
0.07,368.0
0.08,417.0
0.08,119.0
0.08,360.0
0.08,909.0
0.08,850.0
0.08,937.0
0.08,294.0
0.08,160.0
0.08,304.0
